system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
0000423faf8b64bcda03,ENF,60,61,58,60,59,56,FR-LBr,"{""type"":""Point"",""coordinates"":[-0.7693,44.7171]}"
0000edab0876201f3e3f,OSH,49,48,46,47,47,46,ES-LJu,"{""type"":""Point"",""coordinates"":[-2.7521,36.9266]}"
0000f965e94f3e72cbcc,OSH,50,49,50,51,49,49,ES-LgS,"{""type"":""Point"",""coordinates"":[-2.9657999999999993,37.0979]}"
00004d45dd5968d46d0d,OSH,46,46,47,50,45,46,ES-Ln2,"{""type"":""Point"",""coordinates"":[-3.4758000000000004,36.9695]}"
0000d3126d0ea0ea999d,OSH,43,43,42,44,42,41,ES-Amo,"{""type"":""Point"",""coordinates"":[-2.252299999999999,36.8336]}"
0000c3f18f1f84b28b00,SAV,80,79,76,75,78,76,SN-Dhr,"{""type"":""Point"",""coordinates"":[-15.432200000000007,15.4028]}"
000072e75b3e5ab0e431,EBF,61,60,50,50,55,53,GH-Ank,"{""type"":""Point"",""coordinates"":[-2.694200000000001,5.2684999999999995]}"
0000a080247e09febee8,EBF,32,33,31,34,32,32,FR-Pue,"{""type"":""Point"",""coordinates"":[3.5957999999999983,43.7414]}"
00000b9b6122ab8b9d44,ENF,52,52,52,53,50,51,IT-SRo,"{""type"":""Point"",""coordinates"":[10.2844,43.7279]}"
0000afd77d1e31ca12c8,ENF,56,55,53,53,54,53,IT-SR2,"{""type"":""Point"",""coordinates"":[10.291,43.732000000000006]}"
00001e30dcd1ac6dc7b0,CSH,50,50,46,48,48,46,IT-Noe,"{""type"":""Point"",""coordinates"":[8.1515,40.6061]}"
0000917f443c0f960eb1,EBF,40,39,40,42,39,38,IT-Cpz,"{""type"":""Point"",""coordinates"":[12.3761,41.7052]}"
000045d528d71df1cd39,EBF,44,45,45,49,42,45,IT-Cp2,"{""type"":""Point"",""coordinates"":[12.357299999999995,41.70429999999999]}"
000081e67206b52dd1b1,DBF,33,33,32,34,32,31,IT-CA1,"{""type"":""Point"",""coordinates"":[12.026599999999998,42.380399999999995]}"
0000c84624d7651ca2f5,CRO,32,31,31,33,31,30,IT-CA2,"{""type"":""Point"",""coordinates"":[12.026000000000003,42.3772]}"
00006acdc2f370252da7,DBF,33,32,31,33,31,31,IT-CA3,"{""type"":""Point"",""coordinates"":[12.0222,42.38]}"
0000f494963fb9e814db,DBF,35,35,35,37,34,33,IT-Ro2,"{""type"":""Point"",""coordinates"":[11.920899999999998,42.3903]}"
00004e1e8bcb86ecc72f,DBF,32,32,31,32,30,31,IT-Ro1,"{""type"":""Point"",""coordinates"":[11.93,42.4081]}"
0000cb4c1fdc5c023755,DBF,42,42,42,42,39,39,IT-Col,"{""type"":""Point"",""coordinates"":[13.5881,41.84940000000001]}"
0000a32b7d3a40b35fbf,CRO,36,36,37,39,35,34,IT-BCi,"{""type"":""Point"",""coordinates"":[14.957400000000003,40.5238]}"
000027350c546462761e,SAV,77,77,78,78,77,77,SD-Dem,"{""type"":""Point"",""coordinates"":[30.4783,13.282899999999998]}"
00007f5683b12c0e9037,DBF,90,90,87,87,88,86,ZM-Mon,"{""type"":""Point"",""coordinates"":[23.2528,-15.4378]}"
000047137e78afc1314a,SAV,59,59,57,56,58,58,CG-Tch,"{""type"":""Point"",""coordinates"":[11.6564,-4.2892]}"
0000b107de66bce8c7c0,SAV,62,61,55,55,57,54,ZA-Kru,"{""type"":""Point"",""coordinates"":[31.496900000000007,-25.0197]}"
0000e52c3081f8cf0105,ENF,65,63,60,58,61,59,AU-ASM,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}"
0000fa9839a1e29b79f7,OSH,69,69,67,65,67,68,AU-TTE,"{""type"":""Point"",""coordinates"":[133.64,-22.28700000000001]}"
0000389de5d845f88b07,GRA,56,54,50,48,51,49,AU-Stp,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}"
0000db0a06ab6ff600fa,SAV,61,60,53,55,56,54,AU-GWW,"{""type"":""Point"",""coordinates"":[120.6541,-30.191299999999988]}"
00006e638c0efb9c8a66,WSA,67,66,55,55,59,56,AU-Gin,"{""type"":""Point"",""coordinates"":[115.71380000000002,-31.376400000000004]}"
000004250f30de102e1e,SAV,69,68,56,56,61,56,AU-Dry,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}"
00009fdfa98879bbff09,WSA,63,62,53,53,58,54,AU-RDF,"{""type"":""Point"",""coordinates"":[132.4776,-14.563599999999992]}"
